MODEL_SPREAD,MARKET_LINE,RESULT,PROFIT
0.47927990301488954,-7.0,-1,-100.0
7.661281391084222,2.5,1,90.9090909090909
4.425398970184508,-8.0,-1,-100.0
1.3544624146555915,-16.0,-1,-100.0
-9.637681391452427,-12.5,1,90.9090909090909
-10.454871712156228,13.0,1,90.9090909090909
5.413598652299703,-3.5,-1,-100.0
-11.661420849100233,8.0,-1,-100.0
2.328761085106825,7.0,-1,-100.0
3.0599277396198286,-10.0,1,90.9090909090909
-6.354204173811718,-9.5,-1,-100.0
-0.2229642769869944,-14.0,1,90.9090909090909
-3.584912005333729,2.5,-1,-100.0
-7.562262058445706,-4.0,0,0.0
0.23820912417055773,2.5,-1,-100.0
0.40693054248641225,-5.5,1,90.9090909090909
3.2732787649413577,-12.0,-1,-100.0
-2.1204424916508717,-4.5,1,90.9090909090909
3.165551114116118,-5.5,1,90.9090909090909
-4.96078519493039,-2.5,-1,-100.0
4.454106181144317,-7.5,-1,-100.0
0.3923992843753208,-11.0,1,90.9090909090909
0.4591065121294289,-14.5,1,90.9090909090909
-3.0324445061525953,-9.0,1,90.9090909090909
1.3349885952712892,-2.5,1,90.9090909090909
-1.8803545877397259,2.0,1,90.9090909090909
-4.4521009309105555,-10.0,1,90.9090909090909
-2.4514433433619107,-10.5,1,90.9090909090909
-12.155189715910916,-1.0,1,90.9090909090909
-10.196510724314274,2.5,-1,-100.0
0.9219029252948072,-16.5,1,90.9090909090909
-9.196091872357664,-2.5,1,90.9090909090909
-6.9610498815489255,-12.0,-1,-100.0
0.40259665663807276,-8.0,-1,-100.0
0.49718635791831467,-7.5,-1,-100.0
-1.0013173091250938,-6.5,1,90.9090909090909
-2.885403745147622,-8.0,1,90.9090909090909
-1.7643943842808003,1.0,1,90.9090909090909
2.785120653842844,-5.0,-1,-100.0
-6.474713068132553,-1.0,1,90.9090909090909
0.9072268346796388,-7.5,-1,-100.0
-1.0905995077454609,-5.5,1,90.9090909090909
-4.2466627568516575,-11.5,1,90.9090909090909
-1.6578759441964,-5.0,1,90.9090909090909
3.204856759655021,-2.0,1,90.9090909090909
-9.138656007672859,-7.0,1,90.9090909090909
1.2432179956694167,-4.0,1,90.9090909090909
-1.0402691261545645,-4.5,-1,-100.0
0.2702951532212463,-2.5,1,90.9090909090909
-4.5895012150820325,-1.5,1,90.9090909090909
5.264702937390643,-8.0,1,90.9090909090909
-9.918274401126348,-3.5,1,90.9090909090909
-13.258126095523304,2.0,-1,-100.0
-8.285275431273996,3.5,-1,-100.0
-2.950615498219472,3.5,-1,-100.0
-0.7757250634785127,-11.0,1,90.9090909090909
-3.9621919066213653,-23.5,-1,-100.0
-4.394148002537927,1.0,-1,-100.0
1.7858675821774224,-8.0,-1,-100.0
1.3180158762249388,-2.5,1,90.9090909090909
-0.03384630359756535,-8.0,1,90.9090909090909
-3.5625090429200785,1.5,-1,-100.0
-2.2999480661545224,-4.5,1,90.9090909090909
-0.7711020826169293,-3.0,1,90.9090909090909
-8.299815352063868,-3.0,1,90.9090909090909
-10.610224020053645,4.0,1,90.9090909090909
-7.064504046879501,-5.0,1,90.9090909090909
0.8045135395494807,-8.0,-1,-100.0
-7.488093343361905,-9.5,1,90.9090909090909
4.500602341316101,-9.5,1,90.9090909090909
