DATE,HOME,AWAY,MODEL_SPREAD,ACTUAL_MARGIN,RESULT
2024-12-31 01:00:00+00:00,arizona,tcu,3.1,9,1
2023-01-08 01:30:00+00:00,auburn,arkansas,3.06,13,1
2023-01-14 19:00:00+00:00,vanderbilt,arkansas,1.09,13,1
2023-01-19 02:00:00+00:00,missouri,arkansas,0.89,3,1
2023-01-25 00:00:00+00:00,arkansas,lsu,4.34,20,1
2023-02-04 20:30:00+00:00,south carolina,arkansas,1.44,-2,-1
2023-02-08 02:00:00+00:00,kentucky,arkansas,1.35,-15,-1
2023-02-11 23:00:00+00:00,arkansas,mississippi,4.95,-6,-1
2023-02-18 19:00:00+00:00,arkansas,florida,3.76,19,1
2023-02-22 02:00:00+00:00,arkansas,georgia,3.38,32,1
2023-03-01 02:00:00+00:00,tennessee,arkansas,2.33,18,1
2023-03-04 19:00:00+00:00,arkansas,kentucky,4.65,-9,-1
2023-03-10 00:00:00+00:00,auburn,arkansas,3.06,-3,-1
2023-11-11 01:00:00+00:00,arkansas,gardner webb,4.04,18,1
2023-11-14 01:00:00+00:00,arkansas,old dominion,4.72,9,1
2023-11-18 01:00:00+00:00,arkansas,unc greensboro,4.57,-6,-1
2023-11-23 22:50:00+00:00,memphis,arkansas,1.94,5,1
2023-11-24 18:00:00+00:00,north carolina,arkansas,2.51,15,1
2023-12-05 01:00:00+00:00,arkansas,furman,3.91,14,1
2023-12-09 21:00:00+00:00,oklahoma,arkansas,1.29,9,1
2023-12-16 23:00:00+00:00,arkansas,lipscomb,5.9,3,1
2023-12-30 22:00:00+00:00,arkansas,unc wilmington,2.93,16,1
2024-01-06 19:00:00+00:00,arkansas,auburn,3.77,-32,-1
2024-01-11 02:00:00+00:00,georgia,arkansas,0.47,10,1
2024-01-13 21:00:00+00:00,florida,arkansas,1.93,22,1
2024-01-20 18:00:00+00:00,arkansas,south carolina,4.57,-13,-1
2024-01-27 23:00:00+00:00,arkansas,kentucky,4.98,-6,-1
2024-02-01 01:30:00+00:00,missouri,arkansas,0.75,-7,-1
2024-02-03 17:00:00+00:00,lsu,arkansas,1.38,21,1
2024-02-10 23:00:00+00:00,arkansas,georgia,5.53,3,1
2024-02-15 02:00:00+00:00,arkansas,tennessee,3.75,-29,-1
2024-02-17 19:00:00+00:00,mississippi,arkansas,1.07,4,1
2024-02-24 17:00:00+00:00,arkansas,missouri,5.25,15,1
2024-02-28 02:00:00+00:00,arkansas,vanderbilt,5.3,-3,-1
2024-03-02 18:30:00+00:00,kentucky,arkansas,1.02,9,1
2024-03-07 00:00:00+00:00,arkansas,lsu,4.62,11,1
2024-03-14 19:30:00+00:00,south carolina,arkansas,1.43,14,1
2024-11-07 01:00:00+00:00,arkansas,lipscomb,5.86,16,1
2024-11-10 00:30:00+00:00,arkansas,baylor,4.0,-5,-1
2024-11-14 01:00:00+00:00,arkansas,troy,3.96,16,1
2024-11-19 01:00:00+00:00,arkansas,pacific,4.74,19,1
2024-11-23 02:00:00+00:00,arkansas,little rock,5.56,12,1
2024-11-26 01:00:00+00:00,arkansas,maryland eastern shore,5.02,74,1
2024-11-28 21:00:00+00:00,arkansas,illinois,4.63,-13,-1
2024-12-07 19:00:00+00:00,arkansas,utsa,4.97,15,1
2024-12-11 02:00:00+00:00,arkansas,michigan,4.98,2,1
2024-12-14 21:00:00+00:00,arkansas,central arkansas,6.36,25,1
2024-12-31 01:00:00+00:00,arkansas,oakland,5.0,30,1
2023-01-06 01:00:00+00:00,south alabama,arkansas,1.31,18,1
2023-01-07 22:00:00+00:00,troy,arkansas,1.39,12,1
2023-01-13 01:00:00+00:00,arkansas,texas,5.36,-3,-1
2023-01-14 20:00:00+00:00,arkansas,southern miss,5.24,-17,-1
2023-01-20 01:00:00+00:00,arkansas,louisiana,3.97,-9,-1
2023-01-21 20:00:00+00:00,arkansas,marshall,4.78,-9,-1
2023-01-27 01:00:00+00:00,southern miss,arkansas,0.76,16,1
2023-02-03 01:00:00+00:00,arkansas,south alabama,4.69,-20,-1
2023-02-04 20:00:00+00:00,arkansas,coastal carolina,6.05,16,1
2023-02-10 01:00:00+00:00,texas,arkansas,0.64,4,1
2023-02-11 20:00:00+00:00,georgia southern,arkansas,0.19,15,1
